2025-04-29 23:29:53,310 - INFO - Using device: cpu
2025-04-29 23:29:53,418 - INFO - Found latest_model @ /Users/salmanfaris/Desktop/ds-projects/reso2025/gdm-atari/model_run_1/pong_dqn_episode_900.pth
2025-04-29 23:29:53,418 - INFO - Loading latest_model @ /Users/salmanfaris/Desktop/ds-projects/reso2025/gdm-atari/model_run_1/pong_dqn_episode_900.pth
2025-04-29 23:29:53,424 - INFO - Loaded model from episode 900
2025-04-29 23:29:53,425 - INFO - Successfully loaded model and synchronized target model
2025-04-29 23:30:45,622 - INFO - Episode 901, Total Reward: -21.0
2025-04-29 23:31:48,593 - INFO - Episode 902, Total Reward: -21.0
2025-04-29 23:32:42,738 - INFO - Episode 903, Total Reward: -21.0
2025-04-29 23:33:33,969 - INFO - Episode 904, Total Reward: -20.0
2025-04-29 23:34:21,073 - INFO - Episode 905, Total Reward: -21.0
2025-04-29 23:35:09,530 - INFO - Episode 906, Total Reward: -21.0
2025-04-29 23:36:00,271 - INFO - Episode 907, Total Reward: -20.0
2025-04-29 23:36:45,755 - INFO - Episode 908, Total Reward: -21.0
2025-04-29 23:37:32,154 - INFO - Episode 909, Total Reward: -21.0
2025-04-29 23:38:19,222 - INFO - Episode 910, Total Reward: -21.0
2025-04-29 23:39:04,599 - INFO - Episode 911, Total Reward: -21.0
2025-04-29 23:39:50,947 - INFO - Episode 912, Total Reward: -21.0
2025-04-29 23:40:43,363 - INFO - Episode 913, Total Reward: -20.0
2025-04-29 23:41:29,358 - INFO - Episode 914, Total Reward: -21.0
2025-04-29 23:42:15,083 - INFO - Episode 915, Total Reward: -21.0
2025-04-29 23:43:01,358 - INFO - Episode 916, Total Reward: -21.0
2025-04-29 23:43:45,349 - INFO - Episode 917, Total Reward: -21.0
2025-04-29 23:44:30,022 - INFO - Episode 918, Total Reward: -21.0
2025-04-29 23:45:15,051 - INFO - Episode 919, Total Reward: -21.0
2025-04-29 23:45:59,908 - INFO - Episode 920, Total Reward: -21.0
2025-04-29 23:46:45,948 - INFO - Episode 921, Total Reward: -21.0
2025-04-29 23:47:33,971 - INFO - Episode 922, Total Reward: -20.0
2025-04-29 23:48:22,942 - INFO - Episode 923, Total Reward: -21.0
2025-04-29 23:49:07,843 - INFO - Episode 924, Total Reward: -21.0
2025-04-29 23:49:52,147 - INFO - Episode 925, Total Reward: -21.0
2025-04-29 23:50:41,821 - INFO - Episode 926, Total Reward: -20.0
2025-04-29 23:51:28,424 - INFO - Episode 927, Total Reward: -21.0
2025-04-29 23:52:17,494 - INFO - Episode 928, Total Reward: -21.0
2025-04-29 23:53:00,746 - INFO - Episode 929, Total Reward: -21.0
2025-04-29 23:53:58,174 - INFO - Episode 930, Total Reward: -20.0
2025-04-29 23:54:42,240 - INFO - Episode 931, Total Reward: -21.0
2025-04-29 23:55:27,757 - INFO - Episode 932, Total Reward: -21.0
2025-04-29 23:56:17,513 - INFO - Episode 933, Total Reward: -21.0
2025-04-29 23:57:05,274 - INFO - Episode 934, Total Reward: -21.0
2025-04-29 23:57:57,907 - INFO - Episode 935, Total Reward: -21.0
2025-04-29 23:58:43,977 - INFO - Episode 936, Total Reward: -21.0
2025-04-29 23:59:30,409 - INFO - Episode 937, Total Reward: -21.0
2025-04-30 00:00:14,859 - INFO - Episode 938, Total Reward: -21.0
2025-04-30 00:01:03,865 - INFO - Episode 939, Total Reward: -20.0
2025-04-30 00:01:51,747 - INFO - Episode 940, Total Reward: -21.0
2025-04-30 00:02:38,734 - INFO - Episode 941, Total Reward: -21.0
2025-04-30 00:03:23,601 - INFO - Episode 942, Total Reward: -21.0
2025-04-30 00:04:12,683 - INFO - Episode 943, Total Reward: -21.0
2025-04-30 00:05:13,074 - INFO - Episode 944, Total Reward: -20.0
2025-04-30 00:06:05,428 - INFO - Episode 945, Total Reward: -21.0
2025-04-30 00:07:04,983 - INFO - Episode 946, Total Reward: -20.0
2025-04-30 00:07:49,328 - INFO - Episode 947, Total Reward: -21.0
2025-04-30 00:08:34,940 - INFO - Episode 948, Total Reward: -21.0
2025-04-30 00:09:31,009 - INFO - Episode 949, Total Reward: -21.0
2025-04-30 00:10:16,185 - INFO - Episode 950, Total Reward: -21.0
2025-04-30 00:11:03,045 - INFO - Episode 951, Total Reward: -21.0
2025-04-30 00:11:49,059 - INFO - Episode 952, Total Reward: -21.0
2025-04-30 00:12:38,123 - INFO - Episode 953, Total Reward: -21.0
2025-04-30 00:13:29,122 - INFO - Episode 954, Total Reward: -21.0
2025-04-30 00:14:18,410 - INFO - Episode 955, Total Reward: -21.0
2025-04-30 00:15:17,897 - INFO - Episode 956, Total Reward: -21.0
2025-04-30 00:16:04,673 - INFO - Episode 957, Total Reward: -21.0
2025-04-30 00:16:54,869 - INFO - Episode 958, Total Reward: -21.0
2025-04-30 00:17:47,960 - INFO - Episode 959, Total Reward: -21.0
2025-04-30 00:18:37,192 - INFO - Episode 960, Total Reward: -21.0
2025-04-30 00:19:22,085 - INFO - Episode 961, Total Reward: -21.0
2025-04-30 00:20:12,474 - INFO - Episode 962, Total Reward: -20.0
2025-04-30 00:20:59,859 - INFO - Episode 963, Total Reward: -21.0
2025-04-30 00:21:45,671 - INFO - Episode 964, Total Reward: -21.0
2025-04-30 00:22:33,765 - INFO - Episode 965, Total Reward: -21.0
2025-04-30 00:23:18,758 - INFO - Episode 966, Total Reward: -21.0
2025-04-30 00:24:07,622 - INFO - Episode 967, Total Reward: -21.0
2025-04-30 00:24:53,425 - INFO - Episode 968, Total Reward: -21.0
2025-04-30 00:25:37,655 - INFO - Episode 969, Total Reward: -21.0
2025-04-30 00:26:24,049 - INFO - Episode 970, Total Reward: -21.0
2025-04-30 00:27:09,254 - INFO - Episode 971, Total Reward: -21.0
2025-04-30 00:27:55,274 - INFO - Episode 972, Total Reward: -21.0
2025-04-30 00:28:40,415 - INFO - Episode 973, Total Reward: -21.0
2025-04-30 00:29:34,571 - INFO - Episode 974, Total Reward: -21.0
2025-04-30 00:30:25,525 - INFO - Episode 975, Total Reward: -21.0
2025-04-30 00:31:18,921 - INFO - Episode 976, Total Reward: -21.0
2025-04-30 00:32:05,006 - INFO - Episode 977, Total Reward: -21.0
2025-04-30 00:32:53,744 - INFO - Episode 978, Total Reward: -21.0
2025-04-30 00:33:39,406 - INFO - Episode 979, Total Reward: -21.0
2025-04-30 00:34:25,678 - INFO - Episode 980, Total Reward: -21.0
2025-04-30 00:35:10,613 - INFO - Episode 981, Total Reward: -21.0
2025-04-30 00:36:00,604 - INFO - Episode 982, Total Reward: -21.0
2025-04-30 00:36:47,114 - INFO - Episode 983, Total Reward: -21.0
2025-04-30 00:37:37,634 - INFO - Episode 984, Total Reward: -21.0
2025-04-30 00:38:26,275 - INFO - Episode 985, Total Reward: -21.0
2025-04-30 00:39:16,143 - INFO - Episode 986, Total Reward: -20.0
2025-04-30 00:40:01,419 - INFO - Episode 987, Total Reward: -21.0
2025-04-30 00:40:46,751 - INFO - Episode 988, Total Reward: -21.0
2025-04-30 00:41:37,459 - INFO - Episode 989, Total Reward: -21.0
2025-04-30 00:42:34,400 - INFO - Episode 990, Total Reward: -21.0
