2025-05-15 20:11:00,174 - INFO - Using device: mps
2025-05-15 20:11:02,424 - INFO - Found latest_model @ /gdm-atari/model_run_5_gemini_fixed/pong_dqn_episode_2500.pth
2025-05-15 20:11:02,424 - INFO - Loading latest_model @ /gdm-atari/model_run_5_gemini_fixed/pong_dqn_episode_2500.pth
2025-05-15 20:11:02,433 - INFO - Loaded model from episode 2500
2025-05-15 20:11:02,433 - INFO - Successfully loaded model and synchronized target model
2025-05-15 20:11:03,915 - INFO - Updated target network at episode 2500
2025-05-15 20:11:03,930 - INFO - New best model saved with reward: -20.0
2025-05-15 20:11:03,930 - INFO - Episode 2501, Total Reward: -20.0, Average Loss: 0.0000, Epsilon: 0.9950
2025-05-15 20:11:04,801 - INFO - Episode 2502, Total Reward: -20.0, Average Loss: 0.0000, Epsilon: 0.9900
2025-05-15 20:11:05,475 - INFO - Episode 2503, Total Reward: -20.0, Average Loss: 0.0000, Epsilon: 0.9851
2025-05-15 20:11:06,296 - INFO - Episode 2504, Total Reward: -21.0, Average Loss: 0.0000, Epsilon: 0.9801
2025-05-15 20:11:06,965 - INFO - Episode 2505, Total Reward: -20.0, Average Loss: 0.0000, Epsilon: 0.9752
2025-05-15 20:11:07,585 - INFO - Episode 2506, Total Reward: -20.0, Average Loss: 0.0000, Epsilon: 0.9704
2025-05-15 20:11:08,253 - INFO - Episode 2507, Total Reward: -21.0, Average Loss: 0.0000, Epsilon: 0.9655
2025-05-15 20:11:08,969 - INFO - Episode 2508, Total Reward: -21.0, Average Loss: 0.0000, Epsilon: 0.9607
2025-05-15 20:11:09,617 - INFO - Episode 2509, Total Reward: -21.0, Average Loss: 0.0000, Epsilon: 0.9559
2025-05-15 20:11:10,277 - INFO - Episode 2510, Total Reward: -21.0, Average Loss: 0.0000, Epsilon: 0.9511
2025-05-15 20:11:11,291 - INFO - New best model saved with reward: -18.0
2025-05-15 20:11:11,291 - INFO - Episode 2511, Total Reward: -18.0, Average Loss: 0.0000, Epsilon: 0.9464
2025-05-15 20:11:12,002 - INFO - Episode 2512, Total Reward: -20.0, Average Loss: 0.0000, Epsilon: 0.9416
2025-05-15 20:11:12,772 - INFO - Episode 2513, Total Reward: -21.0, Average Loss: 0.0000, Epsilon: 0.9369
2025-05-15 20:11:13,567 - INFO - Episode 2514, Total Reward: -21.0, Average Loss: 0.0000, Epsilon: 0.9322
2025-05-15 20:11:14,281 - INFO - Episode 2515, Total Reward: -21.0, Average Loss: 0.0000, Epsilon: 0.9276
2025-05-15 20:11:15,320 - INFO - Episode 2516, Total Reward: -20.0, Average Loss: 0.0000, Epsilon: 0.9229
2025-05-15 20:11:16,234 - INFO - Episode 2517, Total Reward: -20.0, Average Loss: 0.0000, Epsilon: 0.9183
2025-05-15 20:11:17,025 - INFO - Episode 2518, Total Reward: -20.0, Average Loss: 0.0000, Epsilon: 0.9137
2025-05-15 20:11:18,140 - INFO - Episode 2519, Total Reward: -20.0, Average Loss: 0.0000, Epsilon: 0.9092
2025-05-15 20:11:18,788 - INFO - Episode 2520, Total Reward: -21.0, Average Loss: 0.0000, Epsilon: 0.9046
2025-05-15 20:11:31,955 - INFO - Episode 2521, Total Reward: -21.0, Average Loss: 0.0208, Epsilon: 0.9001
2025-05-15 20:11:46,176 - INFO - Episode 2522, Total Reward: -21.0, Average Loss: 0.0122, Epsilon: 0.8956
2025-05-15 20:12:05,079 - INFO - Episode 2523, Total Reward: -20.0, Average Loss: 0.0091, Epsilon: 0.8911
2025-05-15 20:12:20,515 - INFO - Episode 2524, Total Reward: -20.0, Average Loss: 0.0074, Epsilon: 0.8867
2025-05-15 20:12:46,392 - INFO - Episode 2525, Total Reward: -21.0, Average Loss: 0.0064, Epsilon: 0.8822
2025-05-15 20:13:10,782 - INFO - Episode 2526, Total Reward: -19.0, Average Loss: 0.0059, Epsilon: 0.8778
2025-05-15 20:13:30,521 - INFO - Episode 2527, Total Reward: -20.0, Average Loss: 0.0053, Epsilon: 0.8734
2025-05-15 20:13:49,086 - INFO - Episode 2528, Total Reward: -21.0, Average Loss: 0.0049, Epsilon: 0.8691
2025-05-15 20:14:10,180 - INFO - Episode 2529, Total Reward: -20.0, Average Loss: 0.0044, Epsilon: 0.8647
2025-05-15 20:14:34,954 - INFO - Episode 2530, Total Reward: -20.0, Average Loss: 0.0046, Epsilon: 0.8604
2025-05-15 20:14:51,129 - INFO - Episode 2531, Total Reward: -21.0, Average Loss: 0.0043, Epsilon: 0.8561
2025-05-15 20:15:14,201 - INFO - Episode 2532, Total Reward: -20.0, Average Loss: 0.0043, Epsilon: 0.8518
2025-05-15 20:15:31,461 - INFO - Episode 2533, Total Reward: -20.0, Average Loss: 0.0044, Epsilon: 0.8475
2025-05-15 20:15:51,675 - INFO - Episode 2534, Total Reward: -18.0, Average Loss: 0.0042, Epsilon: 0.8433
2025-05-15 20:16:11,019 - INFO - Episode 2535, Total Reward: -20.0, Average Loss: 0.0042, Epsilon: 0.8391
2025-05-15 20:16:28,337 - INFO - Episode 2536, Total Reward: -20.0, Average Loss: 0.0040, Epsilon: 0.8349
2025-05-15 20:16:48,112 - INFO - Episode 2537, Total Reward: -18.0, Average Loss: 0.0042, Epsilon: 0.8307
2025-05-15 20:17:04,542 - INFO - Episode 2538, Total Reward: -21.0, Average Loss: 0.0040, Epsilon: 0.8266
2025-05-15 20:17:18,763 - INFO - Episode 2539, Total Reward: -21.0, Average Loss: 0.0038, Epsilon: 0.8224
2025-05-15 20:17:33,244 - INFO - Episode 2540, Total Reward: -21.0, Average Loss: 0.0039, Epsilon: 0.8183
2025-05-15 20:17:48,844 - INFO - Episode 2541, Total Reward: -20.0, Average Loss: 0.0039, Epsilon: 0.8142
2025-05-15 20:18:08,596 - INFO - Episode 2542, Total Reward: -20.0, Average Loss: 0.0038, Epsilon: 0.8102
2025-05-15 20:18:33,956 - INFO - New best model saved with reward: -17.0
2025-05-15 20:18:33,956 - INFO - Episode 2543, Total Reward: -17.0, Average Loss: 0.0040, Epsilon: 0.8061
2025-05-15 20:18:48,635 - INFO - Episode 2544, Total Reward: -21.0, Average Loss: 0.0037, Epsilon: 0.8021
