2025-05-17 16:46:46,318 - INFO - Using device: mps
2025-05-17 16:46:49,932 - INFO - 
        ---------------------------------------------------------------
        Loaded checkpoint from model_run_6/checkpoint.pkl with following params:
        EPISODE: 850
        STEP: 832,922
        BEST REWARD: -11.0
        EPSILON: 0.0140
        ---------------------------------------------------------------
        
2025-05-17 16:47:27,558 - INFO - Episode 851, Total Reward: -18.0, Average Loss: 0.0015, Epsilon: 0.0140
2025-05-17 16:47:52,748 - INFO - Episode 852, Total Reward: -20.0, Average Loss: 0.0016, Epsilon: 0.0139
2025-05-17 16:48:18,669 - INFO - Episode 853, Total Reward: -18.0, Average Loss: 0.0015, Epsilon: 0.0138
2025-05-17 16:48:41,994 - INFO - Episode 854, Total Reward: -19.0, Average Loss: 0.0017, Epsilon: 0.0138
2025-05-17 16:49:03,546 - INFO - Episode 855, Total Reward: -20.0, Average Loss: 0.0015, Epsilon: 0.0137
2025-05-17 16:49:25,582 - INFO - Episode 856, Total Reward: -19.0, Average Loss: 0.0015, Epsilon: 0.0136
2025-05-17 16:49:49,889 - INFO - Episode 857, Total Reward: -19.0, Average Loss: 0.0015, Epsilon: 0.0136
2025-05-17 16:50:09,471 - INFO - Episode 858, Total Reward: -20.0, Average Loss: 0.0015, Epsilon: 0.0135
2025-05-17 16:50:37,569 - INFO - Episode 859, Total Reward: -19.0, Average Loss: 0.0015, Epsilon: 0.0134
2025-05-17 16:51:03,297 - INFO - Episode 860, Total Reward: -20.0, Average Loss: 0.0015, Epsilon: 0.0134
2025-05-17 16:51:28,055 - INFO - Episode 861, Total Reward: -19.0, Average Loss: 0.0014, Epsilon: 0.0133
2025-05-17 16:51:55,267 - INFO - Episode 862, Total Reward: -18.0, Average Loss: 0.0015, Epsilon: 0.0132
2025-05-17 16:52:20,852 - INFO - Episode 863, Total Reward: -18.0, Average Loss: 0.0014, Epsilon: 0.0132
2025-05-17 16:52:48,515 - INFO - Episode 864, Total Reward: -18.0, Average Loss: 0.0015, Epsilon: 0.0131
2025-05-17 16:53:12,989 - INFO - Episode 865, Total Reward: -19.0, Average Loss: 0.0015, Epsilon: 0.0130
2025-05-17 16:53:33,733 - INFO - Episode 866, Total Reward: -21.0, Average Loss: 0.0017, Epsilon: 0.0130
2025-05-17 16:53:58,644 - INFO - Episode 867, Total Reward: -18.0, Average Loss: 0.0014, Epsilon: 0.0129
2025-05-17 16:54:24,724 - INFO - Episode 868, Total Reward: -20.0, Average Loss: 0.0015, Epsilon: 0.0128
2025-05-17 16:54:52,526 - INFO - Episode 869, Total Reward: -18.0, Average Loss: 0.0016, Epsilon: 0.0128
2025-05-17 16:55:15,225 - INFO - Episode 870, Total Reward: -18.0, Average Loss: 0.0015, Epsilon: 0.0127
2025-05-17 16:55:47,234 - INFO - Episode 871, Total Reward: -19.0, Average Loss: 0.0014, Epsilon: 0.0126
2025-05-17 16:56:19,832 - INFO - Episode 872, Total Reward: -15.0, Average Loss: 0.0014, Epsilon: 0.0126
